entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,passed,calmar
1.01,-0.01,0.94,0.2,0.2,0.0,1.0,9.5648,-41.3553,-74.12,False,0.129
1.01,-0.01,0.94,0.2,0.2,0.25,0.75,9.6943,-39.079,-70.9169,True,0.1367
1.01,-0.01,0.94,0.2,0.2,0.5,0.5,9.7476,-36.6336,-67.2942,True,0.1449
1.01,-0.01,0.94,0.2,0.2,0.75,0.25,9.7219,-33.9952,-63.2032,True,0.1538
1.01,-0.01,0.94,0.2,0.2,1.0,0.0,9.6165,-31.1363,-58.5782,True,0.1642
1.01,-0.01,0.94,0.2,0.3,0.0,1.0,9.6515,-41.4927,-70.5009,False,0.1369
1.01,-0.01,0.94,0.2,0.3,0.25,0.75,9.7714,-39.2922,-67.4507,True,0.1449
1.01,-0.01,0.94,0.2,0.3,0.5,0.5,9.8239,-36.9453,-64.0312,True,0.1534
1.01,-0.01,0.94,0.2,0.3,0.75,0.25,9.8039,-34.4375,-60.2121,True,0.1628
1.01,-0.01,0.94,0.2,0.3,1.0,0.0,9.7127,-31.7546,-55.9511,True,0.1736
1.01,-0.01,0.94,0.3,0.0,0.0,1.0,9.0686,-49.7372,-81.2047,False,0.1117
1.01,-0.01,0.94,0.3,0.0,0.25,0.75,9.2732,-46.922,-77.2906,False,0.12
1.01,-0.01,0.94,0.3,0.0,0.5,0.5,9.3775,-43.8744,-73.196,False,0.1281
1.01,-0.01,0.94,0.3,0.0,0.75,0.25,9.3787,-40.5474,-68.6046,False,0.1367
1.01,-0.01,0.94,0.3,0.0,1.0,0.0,9.2728,-36.8794,-63.3229,True,0.1464
1.01,-0.01,0.94,0.3,0.1,0.0,1.0,9.1837,-49.9322,-77.5771,False,0.1184
1.01,-0.01,0.94,0.3,0.1,0.25,0.75,9.3682,-47.172,-74.0709,False,0.1265
1.01,-0.01,0.94,0.3,0.1,0.5,0.5,9.4631,-44.2027,-70.2195,False,0.1348
1.01,-0.01,0.94,0.3,0.1,0.75,0.25,9.4659,-40.9881,-65.8305,False,0.1438
1.01,-0.01,0.94,0.3,0.1,1.0,0.0,9.3733,-37.4839,-60.8313,True,0.1541
1.01,-0.01,0.94,0.3,0.2,0.0,1.0,9.2231,-50.1392,-73.9989,False,0.1246
1.01,-0.01,0.94,0.3,0.2,0.25,0.75,9.3925,-47.4361,-70.7486,False,0.1328
